Date,UtilityType,PlanID,Provider,PlanType,Contract,Features,EstimatedBill,OtherFees,AdminFee,ElectricPrice_cents,GasPrice_cents,GreenEnergy
2025-09-07,Electricity,12847,altaconnect,variable-rate all,no-term all,incentives-and-bonuses no-exit-fees all,123.52,15.5,0,3.159,0,
2025-09-07,Electricity,10904,big energy,variable-rate all,no-term all,incentives-and-bonuses no-exit-fees all,125.08,8.99,7.99,3.159,0,
2025-09-07,Electricity,10906,bright fire energy,variable-rate all,no-term all,incentives-and-bonuses no-exit-fees all,116.9,0,9.99,3.159,0,
2025-09-07,Electricity,16719,burst energy,variable-rate all,5-years-or-more all,incentives-and-bonuses no-exit-fees all,113.68,0,8,3.159,0,
2025-09-07,Electricity,10912,energy for less,variable-rate all,no-term all,incentives-and-bonuses no-exit-fees all,133.32,14.88,9.95,3.159,0,
2025-09-07,Electricity,16865,link energy,variable-rate all,no-term all,incentives-and-bonuses no-exit-fees all,129.97,8.99,9.99,3.159,0,
2025-09-07,Electricity,20547,sponsor energy,variable-rate all,no-term all,incentives-and-bonuses no-exit-fees all,120.41,0,9.99,3.159,0,
2025-09-07,Electricity,21666,sponsor energy,variable-rate all,no-term all,incentives-and-bonuses no-exit-fees all,120.41,0,9.99,3.159,0,
2025-09-07,Electricity,21668,sponsor energy,variable-rate all,no-term all,incentives-and-bonuses no-exit-fees all,120.41,0,9.99,3.159,0,
2025-09-07,Electricity,21669,sponsor energy,variable-rate all,no-term all,incentives-and-bonuses no-exit-fees all,120.41,0,9.99,3.159,0,
2025-09-07,Electricity,21670,sponsor energy,variable-rate all,no-term all,incentives-and-bonuses no-exit-fees all,120.41,0,9.99,3.159,0,
2025-09-07,Electricity,14178,direct energy,variable-rate all,1-year all,incentives-and-bonuses no-exit-fees all,123.18,0,12.5,3.16000032,0,
2025-09-07,Electricity,14184,direct energy,variable-rate all,3-year-contract all,incentives-and-bonuses no-exit-fees all,123.18,0,12.5,3.16000032,0,
2025-09-07,Electricity,14191,direct energy,variable-rate all,5-years-or-more all,incentives-and-bonuses no-exit-fees all,123.18,0,12.5,3.16000032,0,
2025-09-07,Electricity,22688,easymax by enmax energy corporation,variable-rate all,no-term all,green-energy incentives-and-bonuses no-exit-fees all,125.41,0,10,3.54,0,
2025-09-07,Electricity,24155,alberta cooperative energy (ace),variable-rate all,no-term all,green-energy incentives-and-bonuses no-exit-fees all,118.08,8.1437,0,3.58,0,
2025-09-07,Electricity,23655,great canadian utilities,variable-rate all,no-term all,no-exit-fees all,119.23,0,8,4.13,0,
2025-09-07,Electricity,16042,azgard energy,variable-rate all,no-term all,no-exit-fees all,121.34,0,9.95,4.14,0,
2025-09-07,Electricity,22629,firefly utilities ,variable-rate all,no-term all,no-exit-fees all,119.76,0,8.45,4.14,0,
2025-09-07,Electricity,21659,neon power,variable-rate all,no-term all,no-exit-fees all,120.47,0,8,4.14,0,
2025-09-07,Electricity,20990,sundance power,variable-rate all,no-term all,no-exit-fees all,121.34,0,9.95,4.14,0,
2025-09-07,Electricity,14223,ascend energy,variable-rate all,no-term all,no-exit-fees all,123.12,0,9.95,4.15,0,
2025-09-07,Electricity,5235,brighter futures energy inc.,variable-rate all,no-term all,no-exit-fees all,117.11,0,8,4.15,0,
2025-09-07,Electricity,6912,empwr,variable-rate all,no-term all,no-exit-fees all,119.88,0,6.75,4.15,0,
2025-09-07,Electricity,421,get energy,variable-rate all,no-term all,no-exit-fees all,120.53,0,8.97,4.15,0,
2025-09-07,Electricity,19441,jade energy,variable-rate all,no-term all,no-exit-fees all,119.34,0,8,4.15,0,
2025-09-07,Electricity,644,solarmax power,variable-rate all,no-term all,no-exit-fees all,118.82,0,7.5,4.15,0,
2025-09-07,Electricity,307,spot power,variable-rate all,no-term all,no-exit-fees all,119.34,0,8,4.15,0,
2025-09-07,Electricity,21470,utilities by kuby,variable-rate all,no-term all,no-exit-fees all,121.61,0,10,4.15,0,
2025-09-07,Electricity,19493,abode power,variable-rate all,no-term all,no-exit-fees all,116.18,0,5,4.16,0,
2025-09-07,Electricity,444,acorn energy,variable-rate all,no-term all,no-exit-fees all,118.44,0,8,4.16,0,
