Provider,PlanID,PlanType,UtilityType,Contract,AvgMonthlyCost
abode power,16704,variable-rate all,NaturalGas,1-year all,0.0
greenamp utilities,21642,variable-rate all,NaturalGas,no-term all,0.0
alberta utility source,10880,variable-rate all,NaturalGas,no-term all,0.0
alberta utility source,10879,variable-rate all,NaturalGas,no-term all,0.0
easymax by enmax energy corporation,23793,combined-rate all,Bundled,1-year all,0.24
shared value energy,19336,variable-rate all,NaturalGas,no-term all,6.35
shared value energy,19351,variable-rate all,NaturalGas,no-term all,6.35
shared value energy,22355,fixed-rate all,NaturalGas,1-year all,6.46
shared value energy,22356,fixed-rate all,NaturalGas,1-year all,6.47
empwr,6913,variable-rate all,NaturalGas,no-term all,6.85
empwr,6914,variable-rate all,NaturalGas,no-term all,6.85
ascend energy,14225,variable-rate all,NaturalGas,no-term all,6.94
ascend energy,14224,variable-rate all,NaturalGas,no-term all,6.94
orizon utilities,20734,variable-rate all,NaturalGas,no-term all,6.95
azgard energy,16057,variable-rate all,NaturalGas,no-term all,6.95
azgard energy,16056,variable-rate all,NaturalGas,no-term all,6.95
orizon utilities,20735,variable-rate all,NaturalGas,no-term all,6.95
empwr,22093,fixed-rate all,NaturalGas,1-year all,6.96
empwr,22094,fixed-rate all,NaturalGas,1-year all,6.97
peyakoskan energy,22756,variable-rate all,NaturalGas,no-term all,7.0
peyakoskan energy,22755,variable-rate all,NaturalGas,no-term all,7.0
xoom energy canada,24652,fixed-rate all,NaturalGas,1-year all,7.02
xoom energy canada,24650,fixed-rate all,NaturalGas,2-year-contract all,7.05
ascend energy,22003,fixed-rate all,NaturalGas,1-year all,7.05
orizon utilities,23437,fixed-rate all,NaturalGas,2-year-contract all,7.06
ascend energy,22004,fixed-rate all,NaturalGas,1-year all,7.06
orizon utilities,23436,fixed-rate all,NaturalGas,2-year-contract all,7.07
xoom energy canada,24648,fixed-rate all,NaturalGas,3-year-contract all,7.07
peyakoskan energy,22757,fixed-rate all,NaturalGas,1-year all,7.11
peyakoskan energy,23530,fixed-rate all,NaturalGas,1-year all,7.13
foothills energy co-op,9234,variable-rate all,NaturalGas,no-term all,7.45
foothills energy co-op,9233,variable-rate all,NaturalGas,no-term all,7.45
adagio energy,21959,fixed-rate all,NaturalGas,2-year-contract all,7.46
adagio energy,21960,fixed-rate all,NaturalGas,2-year-contract all,7.47
foothills energy co-op,24117,fixed-rate all,NaturalGas,1-year all,7.56
foothills energy co-op,24116,fixed-rate all,NaturalGas,1-year all,7.57
mountain view power,5560,variable-rate all,NaturalGas,no-term all,7.59
mountain view power,5561,variable-rate all,NaturalGas,no-term all,7.59
solarmax power,5568,variable-rate all,NaturalGas,no-term all,7.6
park power,5563,variable-rate all,NaturalGas,no-term all,7.6
park power,5564,variable-rate all,NaturalGas,no-term all,7.6
solarmax power,10114,variable-rate all,NaturalGas,no-term all,7.6
mountain view power,22221,fixed-rate all,NaturalGas,1-year all,7.7
solarmax power,23410,fixed-rate all,NaturalGas,1-year all,7.71
mountain view power,22222,fixed-rate all,NaturalGas,1-year all,7.71
park power,22281,fixed-rate all,NaturalGas,2-year-contract all,7.71
solarmax power,23411,fixed-rate all,NaturalGas,2-year-contract all,7.72
park power,22282,fixed-rate all,NaturalGas,2-year-contract all,7.72
camrose energy,5552,variable-rate all,NaturalGas,no-term all,7.85
camrose energy,5551,variable-rate all,NaturalGas,no-term all,7.85
big rock power,5562,variable-rate all,NaturalGas,no-term all,7.9
big rock power,9061,variable-rate all,NaturalGas,no-term all,7.9
camrose energy,22066,fixed-rate all,NaturalGas,2-year-contract all,7.96
camrose energy,22067,fixed-rate all,NaturalGas,2-year-contract all,7.97
big rock power,22250,fixed-rate all,NaturalGas,1-year all,8.01
big rock power,22251,fixed-rate all,NaturalGas,1-year all,8.02
burst energy,16720,variable-rate all,NaturalGas,5-years-or-more all,8.04
headwaters utility,16059,variable-rate all,NaturalGas,no-term all,8.05
headwaters utility,16058,variable-rate all,NaturalGas,no-term all,8.05
echo energy,5554,variable-rate all,NaturalGas,no-term all,8.05
ridge utilities,10799,variable-rate all,NaturalGas,no-term all,8.09
ridge utilities,23512,variable-rate all,NaturalGas,no-term all,8.09
firefly utilities ,22646,variable-rate all,NaturalGas,1-year all,8.1
firefly utilities ,22647,variable-rate all,NaturalGas,1-year all,8.1
jade energy,19443,variable-rate all,NaturalGas,no-term all,8.1
spot power,5569,variable-rate all,NaturalGas,no-term all,8.1
neon power,21661,variable-rate all,NaturalGas,no-term all,8.1
brighter futures energy inc.,6680,variable-rate all,NaturalGas,no-term all,8.1
sandstone energy,5566,variable-rate all,NaturalGas,no-term all,8.1
sandstone energy,23578,variable-rate all,NaturalGas,no-term all,8.1
fluent utilities,11560,variable-rate all,NaturalGas,no-term all,8.1
fluent utilities,9075,variable-rate all,NaturalGas,no-term all,8.1
utilitynet,5571,variable-rate all,NaturalGas,no-term all,8.1
utilitynet,5572,variable-rate all,NaturalGas,no-term all,8.1
wetaskiwin power,12524,variable-rate all,NaturalGas,no-term all,8.1
great canadian utilities,23671,variable-rate all,NaturalGas,no-term all,8.1
acorn energy,5609,variable-rate all,NaturalGas,no-term all,8.1
acorn energy,5610,variable-rate all,NaturalGas,no-term all,8.1
brighter futures energy inc.,5550,variable-rate all,NaturalGas,no-term all,8.1
great canadian utilities,23672,variable-rate all,NaturalGas,no-term all,8.1
airdrie energy,12222,variable-rate all,NaturalGas,no-term all,8.1
wetaskiwin power,12523,variable-rate all,NaturalGas,no-term all,8.1
airdrie energy,12221,variable-rate all,NaturalGas,no-term all,8.1
spot power,5570,variable-rate all,NaturalGas,no-term all,8.1
jade energy,19442,variable-rate all,NaturalGas,no-term all,8.1
alberta cooperative energy (ace),20567,fixed-rate all,NaturalGas,1-year all,8.11
alberta cooperative energy (ace),20566,fixed-rate all,NaturalGas,3-year-contract all,8.12
alberta cooperative energy (ace),20634,fixed-rate all,NaturalGas,1-year all,8.13
alberta cooperative energy (ace),20565,fixed-rate all,NaturalGas,3-year-contract all,8.14
headwaters utility,23255,fixed-rate all,NaturalGas,1-year all,8.16
echo energy,22076,fixed-rate all,NaturalGas,2-year-contract all,8.17
headwaters utility,23256,fixed-rate all,NaturalGas,1-year all,8.17
alberta cooperative energy (ace),24154,variable-rate all,NaturalGas,no-term all,8.19
jade energy,24342,fixed-rate all,NaturalGas,2-year-contract all,8.2
ridge utilities,23513,fixed-rate all,NaturalGas,1-year all,8.2
q-tilities ,24647,fixed-rate all,NaturalGas,1-year all,8.2
utilitynet,22452,fixed-rate all,NaturalGas,2-year-contract all,8.21
sandstone energy,22338,fixed-rate all,NaturalGas,1-year all,8.21
wetaskiwin power,22486,fixed-rate all,NaturalGas,2-year-contract all,8.21
ridge utilities,22299,fixed-rate all,NaturalGas,1-year all,8.21
acorn energy,21943,fixed-rate all,NaturalGas,2-year-contract all,8.21
firefly utilities ,22648,fixed-rate all,NaturalGas,1-year all,8.21
brighter futures energy inc.,22051,fixed-rate all,NaturalGas,1-year all,8.21
fluent utilities,22110,fixed-rate all,NaturalGas,1-year all,8.21
airdrie energy,21975,fixed-rate all,NaturalGas,1-year all,8.21
q-tilities ,24646,fixed-rate all,NaturalGas,1-year all,8.21
neon power,24341,fixed-rate all,NaturalGas,1-year all,8.21
spot power,22389,fixed-rate all,NaturalGas,1-year all,8.21
jade energy,24343,fixed-rate all,NaturalGas,1-year all,8.21
great canadian utilities,23673,fixed-rate all,NaturalGas,no-term all,8.21
azgard energy,22017,fixed-rate all,NaturalGas,1-year all,8.21
sandstone energy,22339,fixed-rate all,NaturalGas,1-year all,8.22
firefly utilities ,22649,fixed-rate all,NaturalGas,1-year all,8.22
utilitynet,22453,fixed-rate all,NaturalGas,2-year-contract all,8.22
fluent utilities,22111,fixed-rate all,NaturalGas,2-year-contract all,8.22
spot power,22390,fixed-rate all,NaturalGas,1-year all,8.22
acorn energy,21944,fixed-rate all,NaturalGas,2-year-contract all,8.22
great canadian utilities,23674,fixed-rate all,NaturalGas,no-term all,8.22
brighter futures energy inc.,22052,fixed-rate all,NaturalGas,1-year all,8.22
wetaskiwin power,22487,fixed-rate all,NaturalGas,2-year-contract all,8.22
airdrie energy,21976,fixed-rate all,NaturalGas,1-year all,8.22
